config,run,cleaned,steps_to_clean,n_green,n_yellow,n_red,n_waste,height,width
1 robot/color,0,True,489,1,1,1,2,15,15
1 robot/color,1,True,644,1,1,1,2,15,15
1 robot/color,2,True,411,1,1,1,2,15,15
1 robot/color,3,True,1325,1,1,1,2,15,15
1 robot/color,4,True,274,1,1,1,2,15,15
1 robot/color,5,True,903,1,1,1,2,15,15
1 robot/color,6,True,1042,1,1,1,2,15,15
1 robot/color,7,True,448,1,1,1,2,15,15
1 robot/color,8,True,348,1,1,1,2,15,15
1 robot/color,9,True,209,1,1,1,2,15,15
1 robot/color,10,True,331,1,1,1,2,15,15
1 robot/color,11,True,1344,1,1,1,2,15,15
1 robot/color,12,True,1211,1,1,1,2,15,15
1 robot/color,13,True,181,1,1,1,2,15,15
1 robot/color,14,True,365,1,1,1,2,15,15
1 robot/color,15,True,679,1,1,1,2,15,15
1 robot/color,16,True,431,1,1,1,2,15,15
1 robot/color,17,True,162,1,1,1,2,15,15
1 robot/color,18,True,754,1,1,1,2,15,15
1 robot/color,19,True,1185,1,1,1,2,15,15
3 robots/color,0,True,274,3,3,3,2,15,15
3 robots/color,1,True,175,3,3,3,2,15,15
3 robots/color,2,True,145,3,3,3,2,15,15
3 robots/color,3,True,140,3,3,3,2,15,15
3 robots/color,4,True,299,3,3,3,2,15,15
3 robots/color,5,True,167,3,3,3,2,15,15
3 robots/color,6,True,149,3,3,3,2,15,15
3 robots/color,7,True,143,3,3,3,2,15,15
3 robots/color,8,True,172,3,3,3,2,15,15
3 robots/color,9,True,101,3,3,3,2,15,15
3 robots/color,10,True,205,3,3,3,2,15,15
3 robots/color,11,True,110,3,3,3,2,15,15
3 robots/color,12,True,159,3,3,3,2,15,15
3 robots/color,13,True,111,3,3,3,2,15,15
3 robots/color,14,True,83,3,3,3,2,15,15
3 robots/color,15,True,193,3,3,3,2,15,15
3 robots/color,16,True,120,3,3,3,2,15,15
3 robots/color,17,True,249,3,3,3,2,15,15
3 robots/color,18,True,204,3,3,3,2,15,15
3 robots/color,19,True,406,3,3,3,2,15,15
10 robots/color,0,True,169,10,10,10,2,15,15
