config,mean_steps_v2_2_20260417_140308,mean_steps_v3_1_20260417_143835,delta_steps,clean_rate_v2_2_20260417_140308,clean_rate_v3_1_20260417_143835,delta_clean_rate
1 robot/color,1080.4,999.2,-81.20000000000005,1.0,1.0,0.0
3 robots/color,300.9,210.65,-90.24999999999997,1.0,1.0,0.0
10 robots/color,176.25,166.5,-9.75,1.0,1.0,0.0
14 robots/color,92.35,103.0,10.650000000000006,1.0,1.0,0.0
Narrow (w=9),160.65,112.75,-47.900000000000006,1.0,1.0,0.0
Medium (w=15),191.95,171.55,-20.399999999999977,1.0,1.0,0.0
Wide (w=21),314.65,259.6,-55.049999999999955,1.0,1.0,0.0
Very wide (w=30),385.9,451.75,65.85000000000002,1.0,1.0,0.0
Short (h=6),54.85,49.8,-5.050000000000004,1.0,1.0,0.0
Medium (h=15),191.95,171.55,-20.399999999999977,1.0,1.0,0.0
Tall (h=24),470.55,417.55,-53.0,1.0,1.0,0.0
Very tall (h=36),1563.25,1248.7,-314.54999999999995,1.0,1.0,0.0
"Low waste (n=1, 7 total)",256.85,167.5,-89.35000000000002,1.0,1.0,0.0
"High waste (n=4, 28 total)",198.0,162.85,-35.150000000000006,1.0,1.0,0.0
"Very high waste (n=10, 70 total)",145.3,140.95,-4.350000000000023,1.0,1.0,0.0
