config,run,cleaned,steps_to_clean,n_green,n_yellow,n_red,n_waste,height,width
1 robot/color,0,True,2133.0,1,1,1,2,15,15
1 robot/color,1,True,3912.0,1,1,1,2,15,15
1 robot/color,2,True,2294.0,1,1,1,2,15,15
1 robot/color,3,True,3766.0,1,1,1,2,15,15
1 robot/color,4,True,3138.0,1,1,1,2,15,15
1 robot/color,5,True,1806.0,1,1,1,2,15,15
1 robot/color,6,True,1280.0,1,1,1,2,15,15
1 robot/color,7,True,2857.0,1,1,1,2,15,15
1 robot/color,8,True,1629.0,1,1,1,2,15,15
1 robot/color,9,True,2616.0,1,1,1,2,15,15
1 robot/color,10,True,2506.0,1,1,1,2,15,15
1 robot/color,11,True,1492.0,1,1,1,2,15,15
1 robot/color,12,True,2559.0,1,1,1,2,15,15
1 robot/color,13,True,3237.0,1,1,1,2,15,15
1 robot/color,14,False,,1,1,1,2,15,15
1 robot/color,15,True,2576.0,1,1,1,2,15,15
1 robot/color,16,True,3715.0,1,1,1,2,15,15
1 robot/color,17,True,2358.0,1,1,1,2,15,15
1 robot/color,18,True,2458.0,1,1,1,2,15,15
1 robot/color,19,True,4166.0,1,1,1,2,15,15
3 robots/color,0,True,418.0,3,3,3,2,15,15
3 robots/color,1,True,961.0,3,3,3,2,15,15
3 robots/color,2,False,,3,3,3,2,15,15
3 robots/color,3,True,443.0,3,3,3,2,15,15
3 robots/color,4,True,899.0,3,3,3,2,15,15
3 robots/color,5,True,1310.0,3,3,3,2,15,15
3 robots/color,6,True,1344.0,3,3,3,2,15,15
3 robots/color,7,True,1765.0,3,3,3,2,15,15
3 robots/color,8,True,490.0,3,3,3,2,15,15
3 robots/color,9,True,1796.0,3,3,3,2,15,15
3 robots/color,10,True,1372.0,3,3,3,2,15,15
3 robots/color,11,True,723.0,3,3,3,2,15,15
3 robots/color,12,True,834.0,3,3,3,2,15,15
3 robots/color,13,True,753.0,3,3,3,2,15,15
3 robots/color,14,True,624.0,3,3,3,2,15,15
3 robots/color,15,True,478.0,3,3,3,2,15,15
3 robots/color,16,False,,3,3,3,2,15,15
3 robots/color,17,True,965.0,3,3,3,2,15,15
3 robots/color,18,False,,3,3,3,2,15,15
3 robots/color,19,True,900.0,3,3,3,2,15,15
10 robots/color,0,True,427.0,10,10,10,2,15,15
10 robots/color,1,True,485.0,10,10,10,2,15,15
10 robots/color,2,True,916.0,10,10,10,2,15,15
10 robots/color,3,False,,10,10,10,2,15,15
10 robots/color,4,False,,10,10,10,2,15,15
10 robots/color,5,True,256.0,10,10,10,2,15,15
10 robots/color,6,True,520.0,10,10,10,2,15,15
10 robots/color,7,True,278.0,10,10,10,2,15,15
10 robots/color,8,True,311.0,10,10,10,2,15,15
10 robots/color,9,True,260.0,10,10,10,2,15,15
10 robots/color,10,False,,10,10,10,2,15,15
10 robots/color,11,False,,10,10,10,2,15,15
10 robots/color,12,False,,10,10,10,2,15,15
10 robots/color,13,True,290.0,10,10,10,2,15,15
10 robots/color,14,True,207.0,10,10,10,2,15,15
10 robots/color,15,True,725.0,10,10,10,2,15,15
10 robots/color,16,False,,10,10,10,2,15,15
10 robots/color,17,False,,10,10,10,2,15,15
10 robots/color,18,False,,10,10,10,2,15,15
10 robots/color,19,True,323.0,10,10,10,2,15,15
14 robots/color,0,True,252.0,14,14,14,2,15,15
