config,run,cleaned,steps_to_clean,n_green,n_yellow,n_red,n_waste,height,width
1 robot/color,0,True,1792.0,1,1,1,2,15,15
1 robot/color,1,True,1820.0,1,1,1,2,15,15
1 robot/color,2,True,932.0,1,1,1,2,15,15
1 robot/color,3,True,809.0,1,1,1,2,15,15
1 robot/color,4,True,643.0,1,1,1,2,15,15
1 robot/color,5,True,1302.0,1,1,1,2,15,15
1 robot/color,6,True,1334.0,1,1,1,2,15,15
1 robot/color,7,True,3030.0,1,1,1,2,15,15
1 robot/color,8,True,1359.0,1,1,1,2,15,15
1 robot/color,9,True,910.0,1,1,1,2,15,15
1 robot/color,10,True,1311.0,1,1,1,2,15,15
1 robot/color,11,True,4143.0,1,1,1,2,15,15
1 robot/color,12,True,1260.0,1,1,1,2,15,15
1 robot/color,13,True,1275.0,1,1,1,2,15,15
1 robot/color,14,True,774.0,1,1,1,2,15,15
1 robot/color,15,True,3358.0,1,1,1,2,15,15
1 robot/color,16,True,2034.0,1,1,1,2,15,15
1 robot/color,17,True,1071.0,1,1,1,2,15,15
1 robot/color,18,True,2038.0,1,1,1,2,15,15
1 robot/color,19,True,938.0,1,1,1,2,15,15
3 robots/color,0,True,601.0,3,3,3,2,15,15
3 robots/color,1,True,281.0,3,3,3,2,15,15
3 robots/color,2,True,618.0,3,3,3,2,15,15
3 robots/color,3,True,187.0,3,3,3,2,15,15
3 robots/color,4,False,,3,3,3,2,15,15
3 robots/color,5,True,534.0,3,3,3,2,15,15
3 robots/color,6,True,457.0,3,3,3,2,15,15
3 robots/color,7,True,614.0,3,3,3,2,15,15
3 robots/color,8,True,285.0,3,3,3,2,15,15
3 robots/color,9,True,738.0,3,3,3,2,15,15
3 robots/color,10,True,426.0,3,3,3,2,15,15
3 robots/color,11,True,295.0,3,3,3,2,15,15
3 robots/color,12,True,776.0,3,3,3,2,15,15
3 robots/color,13,True,586.0,3,3,3,2,15,15
3 robots/color,14,True,383.0,3,3,3,2,15,15
3 robots/color,15,True,721.0,3,3,3,2,15,15
3 robots/color,16,True,447.0,3,3,3,2,15,15
3 robots/color,17,True,270.0,3,3,3,2,15,15
3 robots/color,18,True,412.0,3,3,3,2,15,15
3 robots/color,19,True,299.0,3,3,3,2,15,15
10 robots/color,0,True,165.0,10,10,10,2,15,15
10 robots/color,1,True,111.0,10,10,10,2,15,15
10 robots/color,2,True,112.0,10,10,10,2,15,15
10 robots/color,3,False,,10,10,10,2,15,15
10 robots/color,4,True,301.0,10,10,10,2,15,15
10 robots/color,5,False,,10,10,10,2,15,15
10 robots/color,6,False,,10,10,10,2,15,15
10 robots/color,7,True,281.0,10,10,10,2,15,15
10 robots/color,8,True,330.0,10,10,10,2,15,15
10 robots/color,9,True,340.0,10,10,10,2,15,15
10 robots/color,10,False,,10,10,10,2,15,15
10 robots/color,11,True,174.0,10,10,10,2,15,15
10 robots/color,12,True,240.0,10,10,10,2,15,15
10 robots/color,13,True,205.0,10,10,10,2,15,15
10 robots/color,14,False,,10,10,10,2,15,15
10 robots/color,15,True,139.0,10,10,10,2,15,15
10 robots/color,16,True,251.0,10,10,10,2,15,15
10 robots/color,17,False,,10,10,10,2,15,15
10 robots/color,18,True,177.0,10,10,10,2,15,15
10 robots/color,19,False,,10,10,10,2,15,15
14 robots/color,0,True,176.0,14,14,14,2,15,15
14 robots/color,1,False,,14,14,14,2,15,15
14 robots/color,2,False,,14,14,14,2,15,15
14 robots/color,3,False,,14,14,14,2,15,15
14 robots/color,4,False,,14,14,14,2,15,15
14 robots/color,5,False,,14,14,14,2,15,15
14 robots/color,6,False,,14,14,14,2,15,15
14 robots/color,7,True,219.0,14,14,14,2,15,15
14 robots/color,8,True,230.0,14,14,14,2,15,15
14 robots/color,9,False,,14,14,14,2,15,15
14 robots/color,10,False,,14,14,14,2,15,15
14 robots/color,11,True,323.0,14,14,14,2,15,15
14 robots/color,12,False,,14,14,14,2,15,15
14 robots/color,13,True,115.0,14,14,14,2,15,15
14 robots/color,14,True,293.0,14,14,14,2,15,15
14 robots/color,15,True,297.0,14,14,14,2,15,15
14 robots/color,16,True,119.0,14,14,14,2,15,15
14 robots/color,17,False,,14,14,14,2,15,15
14 robots/color,18,True,120.0,14,14,14,2,15,15
