config,run,cleaned,steps_to_clean,n_green,n_yellow,n_red,n_waste,height,width
1 robot/color,0,True,686,1,1,1,2,15,15
1 robot/color,1,True,632,1,1,1,2,15,15
1 robot/color,2,True,1244,1,1,1,2,15,15
1 robot/color,3,True,2073,1,1,1,2,15,15
1 robot/color,4,True,881,1,1,1,2,15,15
1 robot/color,5,True,530,1,1,1,2,15,15
1 robot/color,6,True,827,1,1,1,2,15,15
1 robot/color,7,True,605,1,1,1,2,15,15
1 robot/color,8,True,645,1,1,1,2,15,15
1 robot/color,9,True,1776,1,1,1,2,15,15
1 robot/color,10,True,844,1,1,1,2,15,15
1 robot/color,11,True,1083,1,1,1,2,15,15
1 robot/color,12,True,1378,1,1,1,2,15,15
1 robot/color,13,True,1247,1,1,1,2,15,15
1 robot/color,14,True,1834,1,1,1,2,15,15
1 robot/color,15,True,183,1,1,1,2,15,15
1 robot/color,16,True,525,1,1,1,2,15,15
1 robot/color,17,True,678,1,1,1,2,15,15
1 robot/color,18,True,452,1,1,1,2,15,15
1 robot/color,19,True,1471,1,1,1,2,15,15
3 robots/color,0,True,224,3,3,3,2,15,15
3 robots/color,1,True,99,3,3,3,2,15,15
3 robots/color,2,True,154,3,3,3,2,15,15
3 robots/color,3,True,182,3,3,3,2,15,15
3 robots/color,4,True,222,3,3,3,2,15,15
3 robots/color,5,True,163,3,3,3,2,15,15
3 robots/color,6,True,121,3,3,3,2,15,15
3 robots/color,7,True,237,3,3,3,2,15,15
3 robots/color,8,True,170,3,3,3,2,15,15
3 robots/color,9,True,157,3,3,3,2,15,15
3 robots/color,10,True,304,3,3,3,2,15,15
3 robots/color,11,True,133,3,3,3,2,15,15
3 robots/color,12,True,688,3,3,3,2,15,15
3 robots/color,13,True,121,3,3,3,2,15,15
3 robots/color,14,True,216,3,3,3,2,15,15
3 robots/color,15,True,189,3,3,3,2,15,15
3 robots/color,16,True,80,3,3,3,2,15,15
3 robots/color,17,True,346,3,3,3,2,15,15
3 robots/color,18,True,181,3,3,3,2,15,15
3 robots/color,19,True,94,3,3,3,2,15,15
10 robots/color,0,True,176,10,10,10,2,15,15
10 robots/color,1,True,63,10,10,10,2,15,15
10 robots/color,2,True,165,10,10,10,2,15,15
10 robots/color,3,True,94,10,10,10,2,15,15
10 robots/color,4,True,197,10,10,10,2,15,15
10 robots/color,5,True,47,10,10,10,2,15,15
10 robots/color,6,True,92,10,10,10,2,15,15
10 robots/color,7,True,147,10,10,10,2,15,15
10 robots/color,8,True,133,10,10,10,2,15,15
10 robots/color,9,True,155,10,10,10,2,15,15
10 robots/color,10,True,90,10,10,10,2,15,15
10 robots/color,11,True,64,10,10,10,2,15,15
10 robots/color,12,True,182,10,10,10,2,15,15
10 robots/color,13,True,168,10,10,10,2,15,15
10 robots/color,14,True,149,10,10,10,2,15,15
10 robots/color,15,True,101,10,10,10,2,15,15
10 robots/color,16,True,188,10,10,10,2,15,15
10 robots/color,17,True,207,10,10,10,2,15,15
10 robots/color,18,True,68,10,10,10,2,15,15
10 robots/color,19,True,253,10,10,10,2,15,15
14 robots/color,0,True,57,14,14,14,2,15,15
14 robots/color,1,True,114,14,14,14,2,15,15
14 robots/color,2,True,105,14,14,14,2,15,15
14 robots/color,3,True,75,14,14,14,2,15,15
14 robots/color,4,True,81,14,14,14,2,15,15
14 robots/color,5,True,146,14,14,14,2,15,15
14 robots/color,6,True,103,14,14,14,2,15,15
14 robots/color,7,True,291,14,14,14,2,15,15
14 robots/color,8,True,131,14,14,14,2,15,15
14 robots/color,9,True,69,14,14,14,2,15,15
14 robots/color,10,True,100,14,14,14,2,15,15
14 robots/color,11,True,48,14,14,14,2,15,15
14 robots/color,12,True,261,14,14,14,2,15,15
14 robots/color,13,True,105,14,14,14,2,15,15
14 robots/color,14,True,87,14,14,14,2,15,15
14 robots/color,15,True,103,14,14,14,2,15,15
14 robots/color,16,True,87,14,14,14,2,15,15
14 robots/color,17,True,44,14,14,14,2,15,15
14 robots/color,18,True,102,14,14,14,2,15,15
14 robots/color,19,True,81,14,14,14,2,15,15
Narrow (w=9),0,True,90,5,5,5,2,15,9
Narrow (w=9),1,True,87,5,5,5,2,15,9
Narrow (w=9),2,True,106,5,5,5,2,15,9
Narrow (w=9),3,True,155,5,5,5,2,15,9
Narrow (w=9),4,True,146,5,5,5,2,15,9
Narrow (w=9),5,True,207,5,5,5,2,15,9
Narrow (w=9),6,True,110,5,5,5,2,15,9
Narrow (w=9),7,True,82,5,5,5,2,15,9
Narrow (w=9),8,True,84,5,5,5,2,15,9
Narrow (w=9),9,True,158,5,5,5,2,15,9
Narrow (w=9),10,True,203,5,5,5,2,15,9
Narrow (w=9),11,True,45,5,5,5,2,15,9
Narrow (w=9),12,True,94,5,5,5,2,15,9
Narrow (w=9),13,True,97,5,5,5,2,15,9
Narrow (w=9),14,True,78,5,5,5,2,15,9
Narrow (w=9),15,True,67,5,5,5,2,15,9
Narrow (w=9),16,True,110,5,5,5,2,15,9
Narrow (w=9),17,True,124,5,5,5,2,15,9
Narrow (w=9),18,True,42,5,5,5,2,15,9
Narrow (w=9),19,True,139,5,5,5,2,15,9
Medium (w=15),0,True,526,5,5,5,2,15,15
Medium (w=15),1,True,198,5,5,5,2,15,15
Medium (w=15),2,True,99,5,5,5,2,15,15
Medium (w=15),3,True,116,5,5,5,2,15,15
Medium (w=15),4,True,79,5,5,5,2,15,15
Medium (w=15),5,True,59,5,5,5,2,15,15
Medium (w=15),6,True,172,5,5,5,2,15,15
Medium (w=15),7,True,278,5,5,5,2,15,15
Medium (w=15),8,True,211,5,5,5,2,15,15
Medium (w=15),9,True,326,5,5,5,2,15,15
Medium (w=15),10,True,189,5,5,5,2,15,15
Medium (w=15),11,True,151,5,5,5,2,15,15
Medium (w=15),12,True,211,5,5,5,2,15,15
Medium (w=15),13,True,98,5,5,5,2,15,15
Medium (w=15),14,True,75,5,5,5,2,15,15
Medium (w=15),15,True,92,5,5,5,2,15,15
Medium (w=15),16,True,185,5,5,5,2,15,15
Medium (w=15),17,True,357,5,5,5,2,15,15
Medium (w=15),18,True,79,5,5,5,2,15,15
Medium (w=15),19,True,92,5,5,5,2,15,15
Wide (w=21),0,True,362,5,5,5,2,15,21
Wide (w=21),1,True,272,5,5,5,2,15,21
Wide (w=21),2,True,280,5,5,5,2,15,21
Wide (w=21),3,True,331,5,5,5,2,15,21
Wide (w=21),4,True,120,5,5,5,2,15,21
Wide (w=21),5,True,149,5,5,5,2,15,21
Wide (w=21),6,True,320,5,5,5,2,15,21
Wide (w=21),7,True,116,5,5,5,2,15,21
Wide (w=21),8,True,152,5,5,5,2,15,21
Wide (w=21),9,True,208,5,5,5,2,15,21
Wide (w=21),10,True,583,5,5,5,2,15,21
Wide (w=21),11,True,213,5,5,5,2,15,21
Wide (w=21),12,True,133,5,5,5,2,15,21
Wide (w=21),13,True,132,5,5,5,2,15,21
Wide (w=21),14,True,187,5,5,5,2,15,21
Wide (w=21),15,True,185,5,5,5,2,15,21
Wide (w=21),16,True,316,5,5,5,2,15,21
Wide (w=21),17,True,193,5,5,5,2,15,21
Wide (w=21),18,True,230,5,5,5,2,15,21
Wide (w=21),19,True,450,5,5,5,2,15,21
Very wide (w=30),0,True,386,5,5,5,2,15,30
Very wide (w=30),1,True,394,5,5,5,2,15,30
Very wide (w=30),2,True,603,5,5,5,2,15,30
Very wide (w=30),3,True,243,5,5,5,2,15,30
Very wide (w=30),4,True,326,5,5,5,2,15,30
Very wide (w=30),5,True,525,5,5,5,2,15,30
