config,mean_steps_v0_1_20260402_163402,mean_steps_v3_1_20260417_143835,delta_steps,clean_rate_v0_1_20260402_163402,clean_rate_v3_1_20260417_143835,delta_clean_rate
1 robot/color,2774.9,999.2,-1775.7,0.95,1.0,0.050000000000000044
3 robots/color,4793.05,210.65,-4582.400000000001,0.05,1.0,0.95
10 robots/color,5000.0,166.5,-4833.5,0.0,1.0,1.0
14 robots/color,5000.0,103.0,-4897.0,0.0,1.0,1.0
Narrow (w=9),5000.0,112.75,-4887.25,0.0,1.0,1.0
Medium (w=15),5000.0,171.55,-4828.45,0.0,1.0,1.0
Wide (w=21),5000.0,259.6,-4740.4,0.0,1.0,1.0
Very wide (w=30),5000.0,451.75,-4548.25,0.0,1.0,1.0
Short (h=6),5000.0,49.8,-4950.2,0.0,1.0,1.0
Medium (h=15),5000.0,171.55,-4828.45,0.0,1.0,1.0
Tall (h=24),5000.0,417.55,-4582.45,0.0,1.0,1.0
Very tall (h=36),5000.0,1248.7,-3751.3,0.0,1.0,1.0
"Low waste (n=1, 7 total)",4757.35,167.5,-4589.85,0.05,1.0,0.95
"High waste (n=4, 28 total)",5000.0,162.85,-4837.15,0.0,1.0,1.0
"Very high waste (n=10, 70 total)",5000.0,140.95,-4859.05,0.0,1.0,1.0
